City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,yatou,37.15,122.3833,25.61,92,12,3.65,CN,1691065625
312,khandyga,62.6667,135.6,14.62,70,6,1.78,RU,1691065626
313,barranca,-10.75,-77.7667,17.69,83,53,3.05,PE,1691065629
314,sydney,-33.8679,151.2073,15.2,81,0,3.69,AU,1691065541
315,hammerfest,70.6634,23.6821,23.25,56,40,4.63,NO,1691065631
316,gadzhiyevo,69.2551,33.3362,24.31,51,17,6.63,RU,1691065632
317,laojunmiao,39.8333,97.7333,27.7,21,4,5.49,CN,1691065633
318,saipan,15.1355,145.701,28.39,100,0,0.0,MP,1691065532
319,veraval,20.9,70.3667,27.27,85,100,9.14,IN,1691065636
320,benguela,-12.5763,13.4055,24.21,70,25,3.69,AO,1691065638
321,san antonio de pale,-1.4014,5.6325,22.2,75,38,1.93,GQ,1691065639
322,taoudenni,22.6783,-3.9836,48.01,5,39,2.8,ML,1691065639
323,port augusta,-32.5,137.7667,19.66,40,4,7.95,AU,1691065640
324,alta,69.9689,23.2717,22.59,56,40,6.17,NO,1691065641
325,brigantine,39.4101,-74.3646,23.33,78,44,0.89,US,1691065643
326,hotan,37.0997,79.9269,32.46,22,47,3.04,CN,1691065644
327,naliya,23.2667,68.8333,29.18,73,68,9.67,IN,1691065645
328,nova olinda do norte,-3.8881,-59.0942,26.44,73,88,0.16,BR,1691065647
329,hamilton,39.1834,-84.5333,22.72,87,100,0.0,US,1691065648
330,murree,33.9073,73.393,25.14,59,37,0.94,PK,1691065582
331,pacific grove,36.6177,-121.9166,14.49,88,100,2.57,US,1691065650
332,faribault,44.295,-93.2688,22.04,90,0,0.0,US,1691065651
333,san jose,37.3394,-121.895,15.11,82,0,6.71,US,1691065474
334,uturoa,-16.7333,-151.4333,25.99,75,7,6.26,PF,1691065653
335,bulan,12.6667,123.9333,27.09,88,99,3.45,PH,1691065655
336,kailua-kona,19.6406,-155.9956,25.98,84,75,2.57,US,1691065656
337,vilyuysk,63.7553,121.6247,17.06,70,97,3.85,RU,1691065657
338,atbasar,51.8,68.3333,29.16,35,20,5.34,KZ,1691065658
339,yanchep,-31.55,115.6833,10.9,67,17,2.25,AU,1691065660
340,labytnangi,66.6572,66.4183,27.12,46,4,5.72,RU,1691065456
341,kafue,-15.7691,28.1814,23.35,31,60,4.62,ZM,1691065662
342,obihiro,42.9172,143.2044,24.7,79,97,1.42,JP,1691065650
343,haiku-pauwela,20.9219,-156.3051,23.91,79,0,4.12,US,1691065665
344,dhrol,22.5667,70.4167,30.66,68,98,9.35,IN,1691065667
345,cheremukhovo,60.3484,59.9851,22.96,64,55,1.86,RU,1691065668
346,"laikit, laikit ii (dimembe)",1.4792,124.9735,26.47,74,40,2.06,ID,1691065668
347,alesund,62.4723,6.1549,19.51,72,40,4.12,NO,1691065669
348,qui nhon,13.7667,109.2333,29.55,72,100,2.4,VN,1691065670
349,filey,54.21,-0.2892,18.27,79,65,0.45,GB,1691065672
350,colonia menno,-22.3667,-59.8167,24.27,36,0,3.31,PY,1691065673
351,iquique,-20.2208,-70.1431,18.02,70,27,0.89,CL,1691065674
352,port blair,11.6667,92.75,29.02,79,40,5.66,IN,1691065675
353,nenjiang,49.1833,125.2167,18.95,66,100,2.45,CN,1691065676
354,ebon,4.582,168.6964,28.67,73,74,3.28,MH,1691065677
355,kariba,-16.5167,28.8,23.23,37,51,1.99,ZW,1691065678
356,vrangel',42.7297,133.0839,20.84,97,94,2.9,RU,1691065679
357,howrah,22.5892,88.3103,31.0,79,40,5.66,IN,1691065660
358,livingston,55.9029,-3.5226,19.56,70,40,2.06,GB,1691065681
359,ambon,-3.6954,128.1814,26.6,95,48,6.22,ID,1691065647
360,childress,34.4264,-100.204,27.73,50,0,4.63,US,1691065683
